Id,Title,Year,Rating,Runtime,Critic.Score,Box.Office
61,How the Grinch Stole Christmas,2000,PG,104,53,259.0
62,102 Dalmatians,2000,G,100,31,65.4
63,What's Cooking?,2000,PG-13,109,52,0.7
64,Dungeons & Dragons,2000,PG-13,107,10,14.8
65,Proof of Life,2000,R,135,40,31.2
66,Vertical Limit,2000,PG-13,124,48,67.8
67,What Women Want,2000,PG-13,127,54,181.5
68,Requiem for a Dream,2000,R,102,78,2.5
69,The Emperor's New Groove,2000,G,78,85,87.3
70,"Dude, Where's My Car?",2000,PG-13,83,18,45.0
71,The Family Man,2000,PG-13,125,53,73.7
72,You Can Count on Me,2000,R,111,95,8.4
73,Miss Congeniality,2000,PG-13,109,42,105.5
74,Quills,2000,R,124,75,4.3
75,All the Pretty Horses,2000,PG-13,116,32,14.7
76,Traffic,2000,R,147,92,123.8
77,State and Main,2000,R,105,86,5.8
78,"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7
79,Thirteen Days,2000,PG-13,145,83,33.1
80,Finding Forrester,2000,PG-13,136,74,51.4
81,The Gift,2000,R,111,57,11.2
82,Chocolat,2000,PG-13,121,63,71.3
83,Snatch.,2000,R,102,73,30.1
84,Shadow of the Vampire,2000,R,92,81,7.5
85,"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2
86,Before Night Falls,2000,R,133,73,2.8
87,An Everlasting Piece,2000,R,103,48,0.0091
88,Pollock,2000,R,122,81,7.3
89,Memento,2000,R,113,92,23.8
90,The Golden Bowl,2000,R,130,54,2.2
91,Songcatcher,2000,PG-13,109,74,1.6
92,The Endurance,2000,G,97,95,2.1
93,Tadpole,2000,PG-13,78,78,2.9
94,The Debut,2000,R,88,74,1.5
95,Antitrust,2001,PG-13,109,24,11.0
96,Double Take,2001,PG-13,88,12,28.5
97,The Pledge,2001,R,124,78,18.9
98,"Scotland, Pa.",2001,R,104,59,0.2
99,Sugar & Spice,2001,PG-13,81,28,12.4
100,Head Over Heels,2001,PG-13,86,10,9.9
101,Valentine,2001,R,96,8,19.8
102,Hannibal,2001,R,131,39,163.9
103,Saving Silverman,2001,PG-13,90,18,19.0
104,Recess: School's Out,2001,G,82,61,34.8
105,Sweet November,2001,PG-13,119,16,24.4
106,Down to Earth,2001,PG-13,87,20,63.1
107,Haunted Castle,2001,PG,38,25,12.4
108,Monkeybone,2001,PG-13,93,20,4.9
109,3000 Miles to Graceland,2001,R,125,14,15.3
110,See Spot Run,2001,PG,94,23,32.5
111,The Mexican,2001,R,123,56,66.6
112,Carman: The Champion,2001,PG-13,82,11,1.3
113,Get Over It,2001,PG-13,87,44,11.3
114,15 Minutes,2001,R,120,33,24.2
115,Bartleby,2001,PG-13,83,35,0.0603
116,Never Again,2001,R,98,31,0.2
117,Enemy at the Gates,2001,R,131,54,50.5
118,Exit Wounds,2001,R,101,32,51.4
119,Heartbreakers,2001,PG-13,123,53,39.9
120,The Brothers,2001,R,106,63,26.6
121,Say It Isn't So,2001,R,95,9,4.8
122,Spy Kids,2001,PG,88,93,110.8
123,Someone Like You...,2001,PG-13,97,43,26.7
124,Along Came a Spider,2001,R,104,32,73.6
125,Blow,2001,R,124,55,52.8
126,Joe Dirt,2001,PG-13,91,11,27.1
127,Kingdom Come,2001,PG,94,28,22.6
128,Josie and the Pussycats,2001,PG-13,98,53,14.1
129,Crocodile Dundee in Los Angeles,2001,PG,92,11,25.3
130,Freddy Got Fingered,2001,R,87,11,13.7
131,Driven,2001,PG-13,116,14,32.4
132,One Night at McCool's,2001,R,93,33,5.7
133,The Forsaken,2001,R,90,7,6.3
134,Town & Country,2001,R,104,13,6.3
135,The Mummy Returns,2001,PG-13,130,47,200.7
136,The Tailor of Panama,2001,R,109,77,13.1
137,A Knight's Tale,2001,PG-13,132,58,55.0
138,Shrek,2001,PG,90,88,267.0
139,Pearl Harbor,2001,PG-13,183,25,197.8
140,Startup.com,2001,R,107,92,0.5
141,What's the Worst That Could Happen?,2001,PG-13,94,10,31.1
142,Moulin Rouge!,2001,PG-13,127,76,55.1
143,The Animal,2001,PG-13,84,30,54.4
144,Swordfish,2001,R,99,26,68.8
145,Evolution,2001,PG-13,101,43,37.6
146,Lara Croft: Tomb Raider,2001,PG-13,100,19,129.5
147,Atlantis: The Lost Empire,2001,PG,95,49,83.6
148,The Fast and the Furious,2001,PG-13,106,53,142.5
149,Dr. Dolittle 2,2001,PG,87,42,111.5
150,Baby Boy,2001,R,130,71,27.8
151,Pootie Tang,2001,PG-13,81,29,2.8
152,The Anniversary Party,2001,R,115,60,3.0
153,Crazy/Beautiful,2001,PG-13,99,63,16.2
154,A.I. Artificial Intelligence,2001,PG-13,146,73,77.6
155,Cats & Dogs,2001,PG,87,54,90.9
156,Kiss of the Dragon,2001,R,98,51,34.7
157,Final Fantasy: The Spirits Within,2001,PG-13,106,44,31.5
158,The Score,2001,R,124,73,70.3
159,Jurassic Park III,2001,PG-13,92,50,180.1
160,America's Sweethearts,2001,PG-13,102,31,93.0
161,Planet of the Apes,2001,PG-13,119,45,178.1
162,Original Sin,2001,R,116,12,15.1
163,The Princess Diaries,2001,G,115,47,107.8
164,Rush Hour 2,2001,PG-13,90,52,226.0
165,The Others,2001,PG-13,104,83,96.1
166,Osmosis Jones,2001,PG,95,55,12.3
167,American Pie 2,2001,R,108,52,144.0
168,Captain Corelli's Mandolin,2001,R,131,29,25.3
169,American Outlaws,2001,PG-13,94,14,11.9
170,Rat Race,2001,PG-13,112,44,55.8
171,The Believer,2001,R,102,82,0.2
172,Jay and Silent Bob Strike Back,2001,R,104,53,29.9
173,Bubble Boy,2001,PG-13,84,29,4.2
174,Ghosts of Mars,2001,R,98,21,7.3
175,Summer Catch,2001,PG-13,108,8,19.0
176,The Curse of the Jade Scorpion,2001,PG-13,103,45,6.8
177,The Deep End,2001,R,101,82,8.3
178,O,2001,R,95,64,15.5
179,Tortilla Soup,2001,PG-13,102,74,2.9
180,Made,2001,R,95,71,3.7
181,Hedwig and the Angry Inch,2001,R,95,92,1.5
182,Jeepers Creepers,2001,R,90,45,37.5
183,Soul Survivors,2001,PG-13,84,4,2.0
184,The Musketeer,2001,PG-13,104,11,26.6
185,Two Can Play That Game,2001,R,90,43,22.0
186,The Glass House,2001,PG-13,106,21,17.4
187,Megiddo: The Omega Code 2,2001,PG-13,104,10,5.6
188,Ghost World,2001,R,111,92,4.7
189,Glitter,2001,PG-13,104,7,3.9
190,Hearts in Atlantis,2001,PG-13,101,50,23.6
191,Zoolander,2001,PG-13,89,64,44.7
192,Don't Say a Word,2001,R,113,24,54.2
193,Extremedays,2001,PG,93,43,0.5
194,Big Bad Love,2001,R,111,41,0.1
195,Joy Ride,2001,R,97,73,21.3
196,Serendipity,2001,PG-13,90,59,50.0
197,Training Day,2001,R,122,72,76.1
198,Max Keeble's Big Move,2001,PG,86,29,16.5
199,Corky Romano,2001,PG-13,86,6,23.0
200,Bandits,2001,PG-13,123,65,41.2
201,Riding in Cars with Boys,2001,PG-13,132,49,29.6
202,The Last Castle,2001,R,131,52,17.9
203,From Hell,2001,R,122,57,30.7
204,Mulholland Drive,2001,R,147,81,7.1
205,Bones,2001,R,96,21,6.8
206,Thir13en Ghosts,2001,R,91,14,41.6
207,K-PAX,2001,PG-13,120,41,50.0
208,Domestic Disturbance,2001,PG-13,89,24,44.4
209,The One,2001,PG-13,87,14,43.9
210,"Monsters, Inc.",2001,G,92,96,34.0
211,Storytelling,2001,R,87,53,0.9
212,Life as a House,2001,R,125,47,15.4
213,Shallow Hal,2001,PG-13,114,51,70.7
214,Heist,2001,R,109,65,23.3
215,The Wash,2001,R,93,8,9.8
216,Harry Potter and the Sorcerer's Stone,2001,PG,152,80,317.6
217,The Man Who Wasn't There,2001,R,116,81,7.4
218,Waking Life,2001,R,99,80,2.1
219,Spy Game,2001,R,126,66,62.3
220,Out Cold,2001,PG-13,89,8,13.9
221,Black Knight,2001,PG-13,95,14,33.3
222,Behind Enemy Lines,2001,PG-13,106,37,58.8
223,Sidewalks of New York,2001,R,108,57,2.1
224,Ocean's Eleven,2001,PG-13,116,82,183.3
225,Vanilla Sky,2001,R,136,41,100.5
226,Novocaine,2001,R,95,38,1.5
227,Not Another Teen Movie,2001,R,89,28,37.9
228,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,91,313.8
229,The Majestic,2001,PG,152,42,27.7
230,The Business of Strangers,2001,R,84,80,0.5
231,Jimmy Neutron: Boy Genius,2001,G,82,75,80.9
232,How High,2001,R,93,27,31.2
233,Who Is Cletis Tout?,2001,R,92,23,0.0649
234,Kate & Leopold,2001,PG-13,118,50,47.1
235,Ali,2001,R,157,67,58.2
236,The Royal Tenenbaums,2001,R,110,80,52.3
237,A Beautiful Mind,2001,PG-13,135,75,170.7
238,Impostor,2001,R,95,22,5.3
239,American Adobo,2001,R,104,30,0.2
240,The Shipping News,2001,R,111,55,11.4
241,Gosford Park,2001,R,137,85,41.3
242,Black Hawk Down,2001,R,144,76,108.6
243,I Am Sam,2001,PG-13,132,34,40.3
244,Birthday Girl,2001,R,93,58,4.9
245,In the Bedroom,2001,R,130,93,35.7
246,Super Troopers,2001,R,100,35,18.4
247,Monster's Ball,2001,R,111,85,31.3
248,The Mystic Masseur,2001,PG,117,52,0.3
249,Iris,2001,R,91,79,5.4
250,Kissing Jessica Stein,2001,R,97,84,7.0
251,Human Nature,2001,R,96,49,0.7
252,The Other Side of Heaven,2001,PG,113,29,4.4
253,Frailty,2001,R,100,73,13.1
254,Piñero,2001,R,103,43,0.2
255,Monsoon Wedding,2001,R,114,95,13.7
256,Jason X,2001,R,91,19,12.6
257,The Cat's Meow,2001,PG-13,114,75,3.2
258,Dogtown and Z-Boys,2001,PG-13,91,92,1.2
259,CQ,2001,R,88,67,0.3
260,Enigma,2001,R,119,72,3.8
261,Thirteen Conversations About One Thing,2001,R,104,83,3.0
262,Festival in Cannes,2001,PG-13,100,65,0.040999999999999995
263,Lovely & Amazing,2001,R,91,86,4.2
264,Little Secrets,2001,PG,96,60,0.4
265,Knockaround Guys,2001,R,92,20,11.5
266,Pokémon 4: The Movie,2001,G,75,14,1.6
267,The Man from Elysian Fields,2001,R,106,51,1.3
268,Cowboy Bebop: The Movie,2001,R,115,64,0.9
269,The Safety of Objects,2001,R,121,49,0.0862
270,On_Line,2002,R,97,38,0.0257
271,Orange County,2002,PG-13,82,46,41.0
272,State Property,2002,R,88,0,2.1
273,Snow Dogs,2002,PG,99,24,81.1
274,A Walk to Remember,2002,PG,101,27,41.1
275,Kung Pow: Enter the Fist,2002,PG-13,81,11,15.9
276,The Count of Monte Cristo,2002,PG-13,131,73,54.1
277,The Mothman Prophecies,2002,PG-13,119,52,35.2
278,The Singles Ward,2002,PG,102,50,1.1
279,Slackers,2002,R,86,10,4.8
280,Big Fat Liar,2002,PG,88,42,47.8
281,Collateral Damage,2002,R,108,19,40.0
282,Rollerball,2002,R,98,3,18.9
283,Crossroads,2002,PG-13,93,14,37.1
284,John Q,2002,PG-13,116,23,71.0
285,Hart's War,2002,R,125,60,19.0
286,Return to Never Land,2002,G,72,45,48.3
287,Heaven,2002,R,97,74,0.6
288,Dragonfly,2002,PG-13,104,7,30.1
289,Queen of the Damned,2002,R,101,17,30.3
290,We Were Soldiers,2002,R,138,63,78.1
291,The Time Machine,2002,PG-13,96,29,56.7
292,All About the Benjamins,2002,R,95,30,25.5
293,Showtime,2002,PG-13,95,25,37.9
294,Ice Age,2002,PG,81,77,176.2
295,Resident Evil,2002,R,100,33,39.5
296,Sorority Boys,2002,R,93,13,10.2
297,Blade II,2002,R,117,59,81.6
298,Clockstoppers,2002,PG,94,29,36.9
299,Panic Room,2002,R,112,76,95.3
300,Death to Smoochy,2002,R,109,42,8.3
301,The Rookie,2002,G,127,83,75.5
302,Van Wilder: Party Liaison,2002,R,92,18,21.0
303,Big Trouble,2002,PG-13,85,48,7.3
304,Changing Lanes,2002,R,98,77,66.7
305,The Sweetest Thing,2002,R,88,26,24.4
306,The Scorpion King,2002,PG-13,92,41,90.3
307,Life or Something Like It,2002,PG-13,103,28,14.4
308,Deuces Wild,2002,R,96,3,6.0
309,Hollywood Ending,2002,PG-13,112,47,4.8
310,The New Guy,2002,PG-13,88,7,29.0
311,Unfaithful,2002,R,124,49,52.7
312,Star Wars: Episode II - Attack of the Clones,2002,PG,142,67,310.3
313,The Salton Sea,2002,R,103,62,0.6
314,About a Boy,2002,PG-13,101,93,40.6
315,Spirit: Stallion of the Cimarron,2002,G,83,69,73.2
316,Enough,2002,PG-13,115,22,39.2
317,Insomnia,2002,R,118,92,67.2
318,Civil Brand,2002,R,95,16,0.1
319,Undercover Brother,2002,PG-13,86,77,38.2
320,The Sum of All Fears,2002,PG-13,124,59,118.5
321,Divine Secrets of the Ya-Ya Sisterhood,2002,PG-13,116,44,69.5
322,Bad Company,2002,PG-13,116,10,30.1
323,The Bourne Identity,2002,PG-13,119,83,121.5
324,Scooby-Doo,2002,PG,86,30,153.2
325,Windtalkers,2002,R,134,32,40.5
326,Passionada,2002,PG-13,108,58,0.5
327,Minority Report,2002,PG-13,145,90,131.9
328,Juwanna Mann,2002,PG-13,91,10,13.4
329,Lilo & Stitch,2002,PG,85,86,145.8
330,Mr. Deeds,2002,PG-13,96,22,126.2
331,Hey Arnold! The Movie,2002,PG,76,29,13.6
332,Like Mike,2002,PG,99,57,51.4
333,Men in Black II,2002,PG-13,88,39,190.4
334,The Powerpuff Girls Movie,2002,PG,73,63,11.3
335,Sunshine State,2002,PG-13,141,80,2.8
336,Halloween: Resurrection,2002,R,94,12,30.3
337,Reign of Fire,2002,PG-13,101,40,42.9
338,Road to Perdition,2002,R,117,81,104.1
339,The Crocodile Hunter: Collision Course,2002,PG,90,53,28.3
340,Eight Legged Freaks,2002,PG-13,99,48,17.2
341,K-19: The Widowmaker,2002,PG-13,138,60,35.1
342,Stuart Little 2,2002,PG,77,81,64.7
343,Austin Powers in Goldmember,2002,PG-13,94,54,213.1
344,The Country Bears,2002,G,88,30,16.9
345,The Master of Disguise,2002,PG,80,1,40.3
346,Signs,2002,PG-13,106,74,227.9
347,Martin Lawrence Live: Runteldat,2002,R,113,39,19.1
348,My Big Fat Greek Wedding,2002,PG,95,76,241.3
349,Spy Kids 2: Island of Lost Dreams,2002,PG,100,74,85.6
350,xXx,2002,PG-13,124,48,141.1
351,Blood Work,2002,R,110,53,26.1
352,Blue Crush,2002,PG-13,104,36,1.0
353,The Adventures of Pluto Nash,2002,PG-13,95,5,4.4
354,S1m0ne,2002,PG-13,117,51,9.5
355,Serving Sara,2002,PG-13,99,4,16.9
356,Possession,2002,PG-13,102,65,10.1
357,Feardotcom,2002,R,101,3,13.1
358,City by the Sea,2002,R,108,48,22.4
359,Swimfan,2002,PG-13,85,14,28.3
360,Stealing Harvard,2002,PG-13,85,9,13.9
361,Barbershop,2002,PG-13,102,82,75.1
362,Manna from Heaven,2002,PG,119,22,0.1
363,Ballistic: Ecks vs. Sever,2002,R,91,0,14.2
364,Charly,2002,PG,103,20,0.7
365,The Banger Sisters,2002,R,98,47,30.2
366,The Four Feathers,2002,PG-13,132,41,18.2
367,Trapped,2002,R,106,18,6.9
368,Pandora's Box,2002,R,103,0,0.8
369,Sweet Home Alabama,2002,PG-13,108,38,127.2
370,The Tuxedo,2002,PG-13,98,22,50.2
371,Jonah: A VeggieTales Movie,2002,G,82,65,25.4
372,Igby Goes Down,2002,R,98,76,4.6
373,Red Dragon,2002,R,124,69,92.9
374,Moonlight Mile,2002,PG-13,117,63,6.7
375,Anything But Love,2002,PG-13,102,37,0.0587
376,Secretary,2002,R,104,75,3.8
377,The Transporter,2002,PG-13,92,53,25.2
378,The Rules of Attraction,2002,R,110,43,6.5
379,White Oleander,2002,PG-13,109,70,16.3
380,Brown Sugar,2002,PG-13,109,66,27.2
381,Tuck Everlasting,2002,PG,90,61,19.0
382,The Ring,2002,PG-13,115,72,128.6
383,Welcome to Collinwood,2002,R,86,54,0.0752
384,Abandon,2002,PG-13,99,16,10.7
385,Hansel & Gretel,2002,PG,89,0,0.1
386,Paid in Full,2002,R,97,51,3.0
387,Jackass: The Movie,2002,R,87,48,64.2
388,The Truth About Charlie,2002,PG-13,104,33,5.3
389,Ghost Ship,2002,R,91,14,30.1
390,Auto Focus,2002,R,105,72,1.8
391,Comedian,2002,R,82,76,2.7
392,Punch-Drunk Love,2002,R,95,79,17.8
393,The Santa Clause 2,2002,G,104,55,139.2
394,8 Mile,2002,R,110,76,116.6
395,Real Women Have Curves,2002,PG-13,90,83,5.7
396,Bowling for Columbine,2002,R,120,96,21.2
397,Harry Potter and the Chamber of Secrets,2002,PG,161,82,261.8
398,Half Past Dead,2002,PG-13,98,3,15.4
399,Frida,2002,R,123,76,25.7
400,Friday After Next,2002,R,85,25,33.0
401,The Emperor's Club,2002,PG-13,109,50,14.0
402,Roger Dodger,2002,R,106,88,1.2
403,Die Another Day,2002,PG-13,133,57,160.2
404,Eight Crazy Nights,2002,PG-13,76,12,23.3
405,Solaris,2002,PG-13,99,66,14.8
406,Treasure Planet,2002,PG,95,68,38.1
407,They,2002,PG-13,89,38,12.6
408,Standing in the Shadows of Motown,2002,PG,108,92,1.2
409,Analyze That,2002,R,96,27,32.1
410,Empire,2002,R,90,21,17.5
411,Drumline,2002,PG-13,118,82,56.2
412,Maid in Manhattan,2002,PG-13,105,39,93.8
413,Star Trek: Nemesis,2002,PG-13,116,37,43.1
414,The Hot Chick,2002,PG-13,104,21,34.9
415,The Lord of the Rings: The Two Towers,2002,PG-13,179,96,340.5
416,The Wild Thornberrys Movie,2002,PG,85,80,39.8
417,Gangs of New York,2002,R,167,75,77.6
418,Two Weeks Notice,2002,PG-13,101,42,93.2
419,Catch Me If You Can,2002,PG-13,141,96,164.4
420,Pinocchio,2002,G,108,0,3.6
421,Evelyn,2002,PG,94,64,1.3
422,About Schmidt,2002,R,125,85,65.0
423,25th Hour,2002,R,135,78,12.8
424,Narc,2002,R,105,83,10.2
425,Antwone Fisher,2002,PG-13,120,79,20.8
426,Far from Heaven,2002,PG-13,107,87,15.8
427,Cherish,2002,R,99,51,0.2
428,Chicago,2002,PG-13,113,86,170.6
429,Confessions of a Dangerous Mind,2002,R,113,79,15.9
430,Spun,2002,R,101,37,0.2
431,Adaptation.,2002,R,114,91,22.2
432,The Hours,2002,PG-13,114,81,41.5
433,The Guru,2002,R,94,57,2.9
434,Dark Blue,2002,R,118,58,9.1
435,Poolhall Junkies,2002,R,99,34,0.5
436,Boat Trip,2002,R,94,7,8.5
437,City of Ghosts,2002,R,116,47,0.3
438,Personal Velocity: Three Portraits,2002,R,86,69,0.6
439,Laurel Canyon,2002,R,103,68,3.6
440,Phone Booth,2002,R,81,71,46.5
441,Better Luck Tomorrow,2002,R,101,81,3.7
442,Raising Victor Vargas,2002,R,88,96,2.0
443,The Dancer Upstairs,2002,R,132,64,2.3
444,Spellbound,2002,G,97,98,5.5
445,Nicholas Nickleby,2002,PG,132,77,1.3
446,Stolen Summer,2002,PG,91,36,0.1
447,Bend It Like Beckham,2002,PG-13,112,85,32.4
448,The Secret Lives of Dentists,2002,R,104,85,3.6
449,Assassination Tango,2002,R,114,48,0.9
450,Cabin Fever,2002,R,93,63,21.1
451,Pumpkin,2002,R,113,36,0.1
452,Darkness,2002,PG-13,88,4,22.0
453,G,2002,R,97,24,3.0
454,National Security,2003,PG-13,88,11,35.8
455,A Guy Thing,2003,PG-13,101,24,15.4
456,Darkness Falls,2003,PG-13,86,9,32.0
457,The R.M.,2003,PG,101,64,0.4
458,Final Destination 2,2003,R,90,48,46.5
459,Biker Boyz,2003,PG-13,110,23,21.7
460,The Recruit,2003,PG-13,115,43,52.7
461,Deliver Us from Eva,2003,R,105,44,17.3
462,Shanghai Knights,2003,PG-13,114,66,60.4
463,How to Lose a Guy in 10 Days,2003,PG-13,116,42,105.8
464,Daredevil,2003,PG-13,103,45,102.5
465,The Jungle Book 2,2003,G,72,19,47.8
466,Gods and Generals,2003,PG-13,219,8,12.9
467,Old School,2003,R,88,60,74.6
468,The Life of David Gale,2003,R,130,19,19.6
469,Cradle 2 the Grave,2003,R,101,26,34.5
470,Tears of the Sun,2003,R,121,33,43.4
471,Bringing Down the House,2003,PG-13,105,34,132.5
472,The Hunted,2003,R,94,29,34.2
473,Agent Cody Banks,2003,PG,102,39,47.3
474,Willard,2003,PG-13,100,64,6.8
475,Dreamcatcher,2003,R,134,30,33.6
476,View from the Top,2003,PG-13,87,14,15.5
477,Piglet's Big Movie,2003,G,75,71,23.1
478,The Core,2003,PG-13,135,41,31.0
479,Head of State,2003,PG-13,95,31,37.8
480,Basic,2003,R,98,21,26.5
481,DysFunktional Family,2003,R,89,43,2.2
482,What a Girl Wants,2003,PG,105,35,36.0
483,A Man Apart,2003,R,109,11,26.2
484,House of 1000 Corpses,2003,R,89,19,12.6
485,Anger Management,2003,PG-13,106,43,133.8
486,Bulletproof Monk,2003,PG-13,104,23,23.0
487,Chasing Papi,2003,PG,80,14,6.1
488,Ghosts of the Abyss,2003,PG,59,80,16.3
489,Malibu's Most Wanted,2003,PG-13,86,31,34.3
490,Holes,2003,PG,117,77,67.3
491,It Runs in the Family,2003,PG-13,109,28,7.4
492,Confidence,2003,R,97,70,12.1
493,The Real Cancun,2003,R,96,35,3.7
494,Identity,2003,R,90,62,51.5
495,The Lizzie McGuire Movie,2003,PG,94,40,42.7
496,X-Men 2,2003,PG-13,134,87,214.8
497,A Mighty Wind,2003,PG-13,91,88,17.5
498,Daddy Day Care,2003,PG,92,28,104.1
499,The Matrix Reloaded,2003,R,138,73,281.5
500,The Shape of Things,2003,R,96,64,0.7
501,The In-Laws,2003,PG-13,98,34,20.4
502,Bruce Almighty,2003,PG-13,101,48,242.6
503,Wrong Turn,2003,R,84,41,15.2
504,Finding Nemo,2003,G,100,99,41.1
505,The Italian Job,2003,PG-13,111,73,106.0
506,2 Fast 2 Furious,2003,PG-13,107,36,127.1
507,Hollywood Homicide,2003,PG-13,116,30,30.0
508,Dumb and Dumberer: When Harry Met Lloyd,2003,PG-13,85,10,26.1
509,Rugrats Go Wild,2003,PG,80,41,39.4
510,From Justin to Kelly,2003,PG,81,10,4.6
511,Hulk,2003,PG-13,138,62,132.1
512,Alex & Emma,2003,PG-13,96,11,14.1
513,Charlie's Angels: Full Throttle,2003,PG-13,106,43,100.7
514,"Legally Blonde 2: Red, White & Blonde",2003,PG-13,95,38,89.8
515,Sinbad: Legend of the Seven Seas,2003,PG,86,46,26.3
516,Terminator 3: Rise of the Machines,2003,R,109,70,150.3
517,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,79,305.3
518,The League of Extraordinary Gentlemen,2003,PG-13,110,17,66.3
519,Johnny English,2003,PG,87,33,28.0
520,How to Deal,2003,PG-13,101,28,14.1
521,Bad Boys II,2003,R,147,23,138.4
522,Lara Croft Tomb Raider: The Cradle of Life,2003,PG-13,117,24,65.7
523,Seabiscuit,2003,PG-13,140,77,120.1
524,Spy Kids 3-D: Game Over,2003,PG,84,45,111.7
525,American Wedding,2003,R,96,55,104.4
526,Northfork,2003,PG-13,103,56,1.3
527,All the Real Girls,2003,R,108,71,0.1
528,Freaky Friday,2003,PG,97,88,110.2
529,Masked and Anonymous,2003,PG-13,112,24,0.1
530,S.W.A.T.,2003,PG-13,117,48,116.6
531,Uptown Girls,2003,PG-13,92,14,36.9
532,Freddy vs. Jason,2003,R,97,40,82.2
533,Open Range,2003,R,139,79,58.3
534,Grind,2003,PG-13,105,8,5.1
535,The Medallion,2003,PG-13,88,18,22.0
536,Marci X,2003,R,84,9,1.5
537,Camp,2003,PG-13,114,63,1.6
538,Le divorce,2003,PG-13,117,37,8.9
539,Step Into Liquid,2003,PG,88,82,3.6
540,Jeepers Creepers II,2003,R,104,23,35.1
541,The Order,2003,R,102,8,7.5
542,Dickie Roberts: Former Child Star,2003,PG-13,98,23,22.7
543,American Splendor,2003,R,101,94,6.0
544,Matchstick Men,2003,PG-13,116,82,36.9
545,Once Upon a Time in Mexico,2003,R,102,68,55.8
546,Anything Else,2003,R,108,40,3.1
547,Underworld,2003,R,121,31,51.5
548,Thirteen,2003,R,100,81,4.5
549,Cold Creek Manor,2003,R,118,12,21.3
550,Secondhand Lions,2003,PG,109,59,41.4
551,The Fighting Temptations,2003,PG-13,123,42,30.2
552,Luther,2003,PG-13,123,44,5.7
553,Under the Tuscan Sun,2003,PG-13,113,62,43.5
554,The Rundown,2003,PG-13,104,71,47.6
555,School of Rock,2003,PG-13,108,92,81.2
556,Lost in Translation,2003,R,101,95,44.6
557,House of the Dead,2003,R,90,4,10.2
558,Good Boy!,2003,PG,87,45,37.6
559,Intolerable Cruelty,2003,PG-13,100,75,35.1
560,Mystic River,2003,R,138,87,90.1
